id,gold_label,gpt_result,gpt_result_mapped
190,inferiority,E:,stereotypical
191,white_grievance,B:,incitement
192,white_grievance,E:,stereotypical
193,irony,E:,stereotypical
194,white_grievance,E:,stereotypical
195,white_grievance,E:,stereotypical
196,incitement,B:,incitement
197,white_grievance,E:,stereotypical
198,white_grievance,B:,incitement
199,white_grievance,A:,white_grievance
200,stereotypical,E:,stereotypical
201,white_grievance,E:,stereotypical
202,inferiority,E:,stereotypical
203,inferiority,E:,stereotypical
204,white_grievance,E:,stereotypical
205,white_grievance,E:,stereotypical
206,white_grievance,E:,stereotypical
207,white_grievance,A:,white_grievance
208,stereotypical,E:,stereotypical
209,white_grievance,E:,stereotypical
210,incitement,A:,white_grievance
211,stereotypical,E:,stereotypical
212,stereotypical,E:,stereotypical
213,white_grievance,C:,inferiority
214,white_grievance,B:,incitement
215,incitement,A:,white_grievance
216,irony,E:,stereotypical
217,stereotypical,E:,stereotypical
218,white_grievance,A:,white_grievance
219,stereotypical,E:,stereotypical
220,white_grievance,B:,incitement
221,stereotypical,E:,stereotypical
222,white_grievance,E:,stereotypical
223,stereotypical,E:,stereotypical
224,incitement,E:,stereotypical
225,inferiority,F:,threatening
226,white_grievance,B:,incitement
227,stereotypical,E:,stereotypical
228,incitement,E:,stereotypical
229,incitement,B:,incitement
230,white_grievance,A:,white_grievance
231,white_grievance,E:,stereotypical
232,white_grievance,F:,threatening
233,incitement,B:,incitement
234,stereotypical,F:,threatening
235,stereotypical,E:,stereotypical
236,white_grievance,E:,stereotypical
237,irony,E:,stereotypical
238,inferiority,A:,white_grievance
239,white_grievance,E:,stereotypical
240,white_grievance,E:,stereotypical
241,white_grievance,E:,stereotypical
242,white_grievance,E:,stereotypical
243,incitement,F:,threatening
244,incitement,E:,stereotypical
245,stereotypical,E:,stereotypical
246,white_grievance,E:,stereotypical
247,stereotypical,E:,stereotypical
248,incitement,E:,stereotypical
249,stereotypical,E:,stereotypical
250,white_grievance,A:,white_grievance
251,incitement,E:,stereotypical
252,incitement,B:,incitement
253,stereotypical,E:,stereotypical
254,incitement,E:,stereotypical
255,white_grievance,A:,white_grievance
256,inferiority,B:,incitement
257,incitement,E:,stereotypical
258,inferiority,A:,white_grievance
259,white_grievance,E:,stereotypical
260,stereotypical,E:,stereotypical
261,stereotypical,E:,stereotypical
262,incitement,E:,stereotypical
263,threatening,F:,threatening
264,white_grievance,E:,stereotypical
265,stereotypical,B:,incitement
266,incitement,E:,stereotypical
267,incitement,E:,stereotypical
268,white_grievance,E:,stereotypical
269,white_grievance,A:,white_grievance
270,incitement,E:,stereotypical
271,incitement,E:,stereotypical
272,white_grievance,A:,white_grievance
273,stereotypical,E:,stereotypical
274,inferiority,E:,stereotypical
275,stereotypical,E:,stereotypical
276,white_grievance,C:,inferiority
277,white_grievance,C:,inferiority
278,incitement,E:,stereotypical
279,inferiority,E:,stereotypical
280,incitement,E:,stereotypical
281,stereotypical,E:,stereotypical
282,incitement,B:,incitement
283,incitement,E:,stereotypical
284,white_grievance,E:,stereotypical
285,inferiority,E:,stereotypical
286,irony,C:,inferiority
287,stereotypical,E:,stereotypical
288,white_grievance,E:,stereotypical
289,incitement,E:,stereotypical
290,white_grievance,E:,stereotypical
291,threatening,B:,incitement
292,white_grievance,B:,incitement
293,white_grievance,E:,stereotypical
294,white_grievance,B:,incitement
295,irony,E:,stereotypical
296,white_grievance,E:,stereotypical
297,incitement,B:,incitement
298,stereotypical,E:,stereotypical
299,stereotypical,C:,inferiority
300,stereotypical,C:,inferiority
301,white_grievance,E:,stereotypical
302,white_grievance,E:,stereotypical
303,white_grievance,E:,stereotypical
304,stereotypical,E:,stereotypical
305,white_grievance,A:,white_grievance
306,irony,E:,stereotypical
307,white_grievance,E:,stereotypical
308,stereotypical,E:,stereotypical
309,white_grievance,E:,stereotypical
310,white_grievance,E:,stereotypical
311,white_grievance,A:,white_grievance
312,stereotypical,E:,stereotypical
313,stereotypical,E:,stereotypical
314,white_grievance,E:,stereotypical
315,white_grievance,A:,white_grievance
316,inferiority,E:,stereotypical
317,incitement,E:,stereotypical
318,white_grievance,A:,white_grievance
319,incitement,E:,stereotypical
320,stereotypical,E:,stereotypical
321,white_grievance,E:,stereotypical
322,incitement,E:,stereotypical
323,white_grievance,C:,inferiority
324,inferiority,C:,inferiority
325,stereotypical,E:,stereotypical
326,white_grievance,E:,stereotypical
327,stereotypical,E:,stereotypical
328,stereotypical,E:,stereotypical
329,white_grievance,F:,threatening
330,incitement,A:,white_grievance
331,inferiority,C:,inferiority
332,white_grievance,E:,stereotypical
333,incitement,B:,incitement
334,stereotypical,C:,inferiority
335,white_grievance,E:,stereotypical
336,white_grievance,E:,stereotypical
337,white_grievance,E:,stereotypical
338,stereotypical,E:,stereotypical
339,incitement,E:,stereotypical
340,stereotypical,E:,stereotypical
341,stereotypical,E:,stereotypical
342,incitement,E:,stereotypical
343,white_grievance,E:,stereotypical
344,incitement,E:,stereotypical
345,stereotypical,B:,incitement
346,incitement,E:,stereotypical
347,inferiority,C:,inferiority
348,inferiority,E:,stereotypical
349,incitement,E:,stereotypical
350,white_grievance,E:,stereotypical
351,white_grievance,A:,white_grievance
352,white_grievance,E:,stereotypical
353,incitement,B:,incitement
354,white_grievance,E:,stereotypical
355,white_grievance,A:,white_grievance
356,other,E:,stereotypical
357,stereotypical,E:,stereotypical
358,white_grievance,B:,incitement
359,white_grievance,F:,threatening
360,stereotypical,E:,stereotypical
361,white_grievance,E:,stereotypical
362,incitement,A:,white_grievance
363,stereotypical,E:,stereotypical
364,incitement,E:,stereotypical
365,incitement,E:,stereotypical
366,stereotypical,E:,stereotypical
367,stereotypical,F:,threatening
368,white_grievance,A:,white_grievance
369,white_grievance,E:,stereotypical
370,white_grievance,E:,stereotypical
371,white_grievance,E:,stereotypical
372,incitement,E:,stereotypical
373,incitement,E:,stereotypical
374,incitement,B:,incitement
375,incitement,A:,white_grievance
376,incitement,E:,stereotypical
377,incitement,E:,stereotypical
378,incitement,E:,stereotypical
379,incitement,A:,white_grievance
380,white_grievance,E:,stereotypical
381,threatening,F:,threatening
382,incitement,E:,stereotypical
383,white_grievance,C:,inferiority
384,stereotypical,E:,stereotypical
385,incitement,E:,stereotypical
386,stereotypical,E:,stereotypical
387,white_grievance,E:,stereotypical
388,white_grievance,E:,stereotypical
389,white_grievance,E:,stereotypical
390,stereotypical,E:,stereotypical
391,white_grievance,E:,stereotypical
392,incitement,B:,incitement
393,threatening,E:,stereotypical
394,white_grievance,A:,white_grievance
395,incitement,E:,stereotypical
396,stereotypical,E:,stereotypical
397,incitement,A:,white_grievance
398,incitement,E:,stereotypical
399,other,A:,white_grievance
400,white_grievance,F:,threatening
401,white_grievance,E:,stereotypical
402,white_grievance,E:,stereotypical
403,threatening,E:,stereotypical
404,white_grievance,E:,stereotypical
405,stereotypical,E:,stereotypical
406,inferiority,E:,stereotypical
407,other,E:,stereotypical
408,stereotypical,E:,stereotypical
409,white_grievance,E:,stereotypical
410,incitement,B:,incitement
411,white_grievance,E:,stereotypical
412,incitement,E:,stereotypical
413,incitement,B:,incitement
414,incitement,E:,stereotypical
415,incitement,E:,stereotypical
416,incitement,E:,stereotypical
417,stereotypical,E:,stereotypical
418,incitement,A:,white_grievance
419,stereotypical,E:,stereotypical
420,incitement,B:,incitement
421,inferiority,C:,inferiority
422,white_grievance,A:,white_grievance
423,stereotypical,E:,stereotypical
424,white_grievance,F:,threatening
425,incitement,E:,stereotypical
426,irony,E:,stereotypical
427,inferiority,A:,white_grievance
428,incitement,B:,incitement
429,stereotypical,C:,inferiority
430,white_grievance,E:,stereotypical
431,stereotypical,F:,threatening
432,white_grievance,E:,stereotypical
433,stereotypical,E:,stereotypical
434,stereotypical,E:,stereotypical
435,stereotypical,E:,stereotypical
436,stereotypical,E:,stereotypical
437,stereotypical,E:,stereotypical
438,stereotypical,E:,stereotypical
439,incitement,E:,stereotypical
440,incitement,B:,incitement
441,incitement,E:,stereotypical
442,stereotypical,B:,incitement
443,white_grievance,B:,incitement
444,incitement,A:,white_grievance
445,stereotypical,F:,threatening
446,stereotypical,E:,stereotypical
447,stereotypical,E:,stereotypical
448,stereotypical,E:,stereotypical
449,stereotypical,E:,stereotypical
450,white_grievance,E:,stereotypical
451,incitement,E:,stereotypical
452,incitement,C:,inferiority
453,stereotypical,E:,stereotypical
454,incitement,A:,white_grievance
455,white_grievance,E:,stereotypical
456,threatening,B:,incitement
457,irony,E:,stereotypical
458,irony,E:,stereotypical
459,incitement,B:,incitement
460,incitement,F:,threatening
461,incitement,B:,incitement
462,white_grievance,A:,white_grievance
463,stereotypical,B:,incitement
464,incitement,E:,stereotypical
465,incitement,C:,inferiority
466,incitement,E:,stereotypical
467,stereotypical,E:,stereotypical
468,threatening,F:,threatening
469,incitement,E:,stereotypical
470,incitement,A:,white_grievance
471,incitement,E:,stereotypical
472,stereotypical,E:,stereotypical
473,incitement,B:,incitement
474,stereotypical,E:,stereotypical
475,incitement,A:,white_grievance
476,stereotypical,E:,stereotypical
477,incitement,E:,stereotypical
478,incitement,A:,white_grievance
479,incitement,B:,incitement
480,white_grievance,E:,stereotypical
481,incitement,A:,white_grievance
482,white_grievance,E:,stereotypical
483,stereotypical,E:,stereotypical
484,incitement,E:,stereotypical
485,incitement,A:,white_grievance
486,incitement,E:,stereotypical
487,incitement,A:,white_grievance
488,stereotypical,E:,stereotypical
489,incitement,E:,stereotypical
490,stereotypical,B:,incitement
491,incitement,B:,incitement
492,stereotypical,E:,stereotypical
493,inferiority,E:,stereotypical
494,incitement,E:,stereotypical
495,incitement,B:,incitement
496,incitement,A:,white_grievance
497,incitement,E:,stereotypical
498,incitement,E:,stereotypical
499,inferiority,E:,stereotypical
500,incitement,C:,inferiority
501,incitement,A:,white_grievance
502,white_grievance,A:,white_grievance
503,incitement,E:,stereotypical
504,incitement,B:,incitement
505,incitement,B:,incitement
506,incitement,E:,stereotypical
507,threatening,B:,incitement
508,irony,E:,stereotypical
509,stereotypical,E:,stereotypical
510,irony,E:,stereotypical
511,white_grievance,A:,white_grievance
512,irony,F:,threatening
513,irony,F:,threatening
514,irony,E:,stereotypical
515,incitement,E:,stereotypical
516,stereotypical,E:,stereotypical
517,stereotypical,E:,stereotypical
518,incitement,A:,white_grievance
519,other,E:,stereotypical
520,stereotypical,B:,incitement
521,white_grievance,B:,incitement
522,white_grievance,E:,stereotypical
523,stereotypical,E:,stereotypical
524,incitement,E:,stereotypical
525,stereotypical,E:,stereotypical
526,white_grievance,A:,white_grievance
527,white_grievance,E:,stereotypical
528,white_grievance,E:,stereotypical
529,stereotypical,C:,inferiority
530,stereotypical,B:,incitement
531,stereotypical,E:,stereotypical
532,white_grievance,A:,white_grievance
533,white_grievance,E:,stereotypical
534,white_grievance,E:,stereotypical
535,stereotypical,E:,stereotypical
536,white_grievance,A:,white_grievance
537,white_grievance,E:,stereotypical
538,stereotypical,E:,stereotypical
539,irony,E:,stereotypical
540,white_grievance,F:,threatening
541,stereotypical,E:,stereotypical
542,incitement,C:,inferiority
543,white_grievance,E:,stereotypical
544,stereotypical,E:,stereotypical
545,inferiority,B:,incitement
546,irony,E:,stereotypical
547,white_grievance,A:,white_grievance
548,stereotypical,E:,stereotypical
549,white_grievance,B:,incitement
550,white_grievance,B:,incitement
551,stereotypical,E:,stereotypical
552,white_grievance,E:,stereotypical
553,white_grievance,E:,stereotypical
554,incitement,F:,threatening
555,stereotypical,B:,incitement
556,stereotypical,C:,inferiority
557,white_grievance,E:,stereotypical
558,irony,E:,stereotypical
559,other,E:,stereotypical
560,white_grievance,E:,stereotypical
561,white_grievance,F:,threatening
562,incitement,E:,stereotypical
563,stereotypical,E:,stereotypical
564,stereotypical,E:,stereotypical
565,incitement,E:,stereotypical
566,irony,D:,irony
567,stereotypical,E:,stereotypical
568,incitement,E:,stereotypical
569,white_grievance,B:,incitement
570,white_grievance,E:,stereotypical
571,incitement,B:,incitement
572,stereotypical,E:,stereotypical
573,incitement,A:,white_grievance
574,white_grievance,A:,white_grievance
575,incitement,E:,stereotypical
576,white_grievance,E:,stereotypical
577,incitement,E:,stereotypical
578,white_grievance,E:,stereotypical
579,stereotypical,B:,incitement
580,inferiority,C:,inferiority
581,stereotypical,B:,incitement
582,incitement,B:,incitement
583,incitement,C:,inferiority
584,other,E:,stereotypical
585,white_grievance,E:,stereotypical
586,white_grievance,E:,stereotypical
587,white_grievance,E:,stereotypical
588,white_grievance,E:,stereotypical
589,stereotypical,F:,threatening
590,stereotypical,E:,stereotypical
591,threatening,A:,white_grievance
592,irony,E:,stereotypical
593,white_grievance,B:,incitement
594,white_grievance,E:,stereotypical
595,incitement,F:,threatening
596,stereotypical,C:,inferiority
597,threatening,F:,threatening
598,white_grievance,E:,stereotypical
599,white_grievance,A:,white_grievance
600,white_grievance,E:,stereotypical
601,incitement,E:,stereotypical
602,white_grievance,A:,white_grievance
603,incitement,A:,white_grievance
604,white_grievance,E:,stereotypical
605,incitement,E:,stereotypical
606,stereotypical,E:,stereotypical
607,stereotypical,E:,stereotypical
608,stereotypical,E:,stereotypical
609,incitement,E:,stereotypical
610,incitement,C:,inferiority
611,stereotypical,E:,stereotypical
612,stereotypical,E:,stereotypical
613,incitement,E:,stereotypical
614,incitement,B:,incitement
615,white_grievance,A:,white_grievance
616,stereotypical,E:,stereotypical
617,incitement,A:,white_grievance
618,irony,E:,stereotypical
619,incitement,E:,stereotypical
620,white_grievance,E:,stereotypical
621,irony,E:,stereotypical
622,inferiority,E:,stereotypical
623,white_grievance,E:,stereotypical
624,irony,E:,stereotypical
625,incitement,E:,stereotypical
626,incitement,E:,stereotypical
627,white_grievance,E:,stereotypical
628,stereotypical,C:,inferiority
629,white_grievance,A:,white_grievance
630,stereotypical,E:,stereotypical
631,white_grievance,E:,stereotypical
632,stereotypical,E:,stereotypical
633,white_grievance,A:,white_grievance
634,incitement,E:,stereotypical
635,stereotypical,E:,stereotypical
636,incitement,A:,white_grievance
637,white_grievance,E:,stereotypical
638,incitement,E:,stereotypical
639,white_grievance,E:,stereotypical
640,white_grievance,E:,stereotypical
641,stereotypical,E:,stereotypical
642,stereotypical,C:,inferiority
643,threatening,E:,stereotypical
644,stereotypical,E:,stereotypical
645,white_grievance,C:,inferiority
646,stereotypical,F:,threatening
647,incitement,E:,stereotypical
648,white_grievance,E:,stereotypical
649,white_grievance,A:,white_grievance
650,inferiority,E:,stereotypical
651,incitement,E:,stereotypical
652,stereotypical,E:,stereotypical
653,other,E:,stereotypical
654,incitement,E:,stereotypical
655,stereotypical,A:,white_grievance
656,other,C:,inferiority
657,stereotypical,E:,stereotypical
658,stereotypical,E:,stereotypical
659,threatening,F:,threatening
660,white_grievance,E:,stereotypical
661,stereotypical,A:,white_grievance
662,white_grievance,E:,stereotypical
663,incitement,E:,stereotypical
664,white_grievance,E:,stereotypical
665,white_grievance,E:,stereotypical
666,white_grievance,A:,white_grievance
667,incitement,A:,white_grievance
668,incitement,E:,stereotypical
669,stereotypical,E:,stereotypical
670,white_grievance,E:,stereotypical
671,stereotypical,E:,stereotypical
672,irony,E:,stereotypical
673,other,E:,stereotypical
674,white_grievance,A:,white_grievance
675,incitement,E:,stereotypical
676,incitement,B:,incitement
677,other,E:,stereotypical
678,inferiority,E:,stereotypical
679,incitement,B:,incitement
680,white_grievance,E:,stereotypical
681,white_grievance,E:,stereotypical
682,incitement,E:,stereotypical
683,white_grievance,E:,stereotypical
684,incitement,E:,stereotypical
685,stereotypical,F:,threatening
686,white_grievance,E:,stereotypical
687,white_grievance,E:,stereotypical
688,white_grievance,E:,stereotypical
689,white_grievance,A:,white_grievance
690,incitement,C:,inferiority
691,white_grievance,E:,stereotypical
692,white_grievance,E:,stereotypical
693,inferiority,E:,stereotypical
694,inferiority,A:,white_grievance
695,incitement,F:,threatening
696,inferiority,E:,stereotypical
697,white_grievance,E:,stereotypical
698,incitement,C:,inferiority
699,white_grievance,E:,stereotypical
700,white_grievance,E:,stereotypical
701,white_grievance,A:,white_grievance
702,stereotypical,E:,stereotypical
703,incitement,B:,incitement
704,incitement,B:,incitement
705,threatening,B:,incitement
706,white_grievance,A:,white_grievance
707,white_grievance,E:,stereotypical
708,white_grievance,A:,white_grievance
709,white_grievance,E:,stereotypical
710,stereotypical,E:,stereotypical
711,incitement,E:,stereotypical
712,incitement,F:,threatening
713,white_grievance,E:,stereotypical
714,stereotypical,E:,stereotypical
715,stereotypical,E:,stereotypical
716,stereotypical,E:,stereotypical
717,incitement,E:,stereotypical
718,white_grievance,E:,stereotypical
719,white_grievance,A:,white_grievance
720,incitement,E:,stereotypical
721,white_grievance,E:,stereotypical
722,white_grievance,E:,stereotypical
723,stereotypical,E:,stereotypical
724,stereotypical,E:,stereotypical
725,stereotypical,E:,stereotypical
726,inferiority,C:,inferiority
727,white_grievance,E:,stereotypical
728,white_grievance,B:,incitement
729,stereotypical,E:,stereotypical
730,incitement,E:,stereotypical
731,inferiority,E:,stereotypical
732,irony,E:,stereotypical
733,incitement,E:,stereotypical
734,irony,E:,stereotypical
735,stereotypical,F:,threatening
736,stereotypical,A:,white_grievance
737,incitement,B:,incitement
738,stereotypical,B:,incitement
739,incitement,E:,stereotypical
740,incitement,E:,stereotypical
741,incitement,C:,inferiority
742,threatening,E:,stereotypical
743,white_grievance,E:,stereotypical
744,white_grievance,A:,white_grievance
745,stereotypical,E:,stereotypical
746,white_grievance,E:,stereotypical
747,stereotypical,B:,incitement
748,white_grievance,B:,incitement
749,incitement,B:,incitement
750,incitement,E:,stereotypical
751,white_grievance,E:,stereotypical
752,stereotypical,E:,stereotypical
753,stereotypical,E:,stereotypical
754,incitement,F:,threatening
755,stereotypical,E:,stereotypical
756,incitement,E:,stereotypical
757,stereotypical,B:,incitement
758,stereotypical,E:,stereotypical
759,incitement,B:,incitement
760,stereotypical,F:,threatening
761,stereotypical,E:,stereotypical
762,white_grievance,E:,stereotypical
763,inferiority,E:,stereotypical
764,incitement,E:,stereotypical
765,incitement,E:,stereotypical
766,white_grievance,E:,stereotypical
767,incitement,E:,stereotypical
768,incitement,C:,inferiority
769,stereotypical,E:,stereotypical
770,incitement,E:,stereotypical
771,inferiority,E:,stereotypical
772,white_grievance,E:,stereotypical
773,incitement,A:,white_grievance
774,irony,B:,incitement
775,incitement,C:,inferiority
776,stereotypical,E:,stereotypical
777,white_grievance,C:,inferiority
778,incitement,E:,stereotypical
779,white_grievance,E:,stereotypical
780,white_grievance,E:,stereotypical
781,incitement,E:,stereotypical
782,incitement,E:,stereotypical
783,irony,E:,stereotypical
784,stereotypical,E:,stereotypical
785,stereotypical,E:,stereotypical
786,stereotypical,F:,threatening
787,white_grievance,E:,stereotypical
788,incitement,E:,stereotypical
789,incitement,C:,inferiority
790,incitement,E:,stereotypical
791,white_grievance,E:,stereotypical
792,incitement,A:,white_grievance
793,white_grievance,F:,threatening
794,white_grievance,E:,stereotypical
795,incitement,E:,stereotypical
796,incitement,B:,incitement
797,white_grievance,A:,white_grievance
798,incitement,E:,stereotypical
799,incitement,E:,stereotypical
800,stereotypical,E:,stereotypical
801,white_grievance,E:,stereotypical
802,white_grievance,E:,stereotypical
803,incitement,C:,inferiority
804,white_grievance,E:,stereotypical
805,inferiority,A:,white_grievance
806,incitement,C:,inferiority
807,incitement,E:,stereotypical
808,incitement,E:,stereotypical
809,inferiority,C:,inferiority
810,irony,E:,stereotypical
811,white_grievance,F:,threatening
812,incitement,E:,stereotypical
813,incitement,C:,inferiority
814,incitement,E:,stereotypical
815,inferiority,C:,inferiority
816,white_grievance,B:,incitement
817,inferiority,E:,stereotypical
818,incitement,E:,stereotypical
819,incitement,C:,inferiority
820,incitement,E:,stereotypical
821,stereotypical,E:,stereotypical
822,incitement,E:,stereotypical
823,inferiority,A:,white_grievance
824,stereotypical,E:,stereotypical
825,inferiority,C:,inferiority
826,incitement,A:,white_grievance
827,incitement,E:,stereotypical
828,white_grievance,E:,stereotypical
829,incitement,E:,stereotypical
830,stereotypical,C:,inferiority
831,white_grievance,F:,threatening
832,irony,E:,stereotypical
833,white_grievance,E:,stereotypical
834,stereotypical,E:,stereotypical
835,stereotypical,E:,stereotypical
836,inferiority,E:,stereotypical
837,stereotypical,E:,stereotypical
838,white_grievance,E:,stereotypical
839,white_grievance,E:,stereotypical
840,irony,E:,stereotypical
841,white_grievance,E:,stereotypical
842,stereotypical,E:,stereotypical
843,stereotypical,E:,stereotypical
844,threatening,C:,inferiority
845,incitement,E:,stereotypical
846,white_grievance,E:,stereotypical
847,incitement,C:,inferiority
848,incitement,E:,stereotypical
849,stereotypical,E:,stereotypical
850,white_grievance,E:,stereotypical
851,white_grievance,E:,stereotypical
852,stereotypical,E:,stereotypical
853,white_grievance,A:,white_grievance
854,incitement,E:,stereotypical
855,white_grievance,E:,stereotypical
856,stereotypical,C:,inferiority
857,white_grievance,F:,threatening
858,stereotypical,E:,stereotypical
859,incitement,E:,stereotypical
860,white_grievance,E:,stereotypical
861,white_grievance,E:,stereotypical
862,stereotypical,B:,incitement
863,incitement,E:,stereotypical
864,irony,C:,inferiority
865,white_grievance,E:,stereotypical
866,white_grievance,E:,stereotypical
867,incitement,B:,incitement
868,white_grievance,E:,stereotypical
869,white_grievance,E:,stereotypical
870,irony,B:,incitement
871,white_grievance,E:,stereotypical
872,incitement,E:,stereotypical
873,incitement,E:,stereotypical
874,white_grievance,A:,white_grievance
875,irony,E:,stereotypical
876,white_grievance,A:,white_grievance
877,white_grievance,E:,stereotypical
878,incitement,E:,stereotypical
879,incitement,A:,white_grievance
880,inferiority,E:,stereotypical
881,incitement,E:,stereotypical
882,irony,E:,stereotypical
883,white_grievance,E:,stereotypical
884,white_grievance,A:,white_grievance
885,incitement,E:,stereotypical
886,incitement,A:,white_grievance
